the minbytes is 67108864, maxbytes is 67108864, iters is 5, warmup_iters is 2
data_size(Bytes): | aveg_time(us): | alg_bandwidth(GB/s): | check_result:
67108864          | 1139.21        | 58.90835             | NULL
67108864          | 1140.20        | 58.85690             | NULL
67108864          | 1139.15        | 58.91145             | NULL
67108864          | 1140.23        | 58.85545             | NULL
67108864          | 1138.84        | 58.92738             | NULL
67108864          | 1140.01        | 58.86701             | NULL
67108864          | 1139.40        | 58.89842             | NULL
67108864          | 1140.30        | 58.85214             | NULL
67108864          | 1139.39        | 58.89904             | NULL
67108864          | 1139.98        | 58.86845             | NULL
67108864          | 1139.56        | 58.89015             | NULL
67108864          | 1140.08        | 58.86350             | NULL
67108864          | 1139.36        | 58.90070             | NULL
67108864          | 1139.82        | 58.87693             | NULL
67108864          | 1139.43        | 58.89697             | NULL
67108864          | 1140.08        | 58.86350             | NULL
67108864          | 1138.80        | 58.92966             | NULL
67108864          | 1139.46        | 58.89532             | NULL
67108864          | 1139.91        | 58.87197             | NULL
67108864          | 1140.21        | 58.85669             | NULL
67108864          | 1139.63        | 58.88664             | NULL
67108864          | 1139.79        | 58.87837             | NULL
67108864          | 1139.32        | 58.90256             | NULL
67108864          | 1140.02        | 58.86639             | NULL
67108864          | 1139.56        | 58.88994             | NULL
67108864          | 1139.94        | 58.87073             | NULL
67108864          | 1138.80        | 58.92946             | NULL
67108864          | 1140.03        | 58.86598             | NULL
67108864          | 1139.27        | 58.90504             | NULL
67108864          | 1139.88        | 58.87383             | NULL
67108864          | 1139.00        | 58.91932             | NULL
67108864          | 1139.97        | 58.86908             | NULL
67108864          | 1139.21        | 58.90814             | NULL
67108864          | 1140.18        | 58.85813             | NULL
67108864          | 1139.16        | 58.91083             | NULL
67108864          | 1138.96        | 58.92139             | NULL
67108864          | 1138.74        | 58.93256             | NULL
67108864          | 1140.23        | 58.85565             | NULL
67108864          | 1139.76        | 58.88002             | NULL
67108864          | 1139.82        | 58.87693             | NULL
67108864          | 1139.21        | 58.90835             | NULL
67108864          | 1140.04        | 58.86536             | NULL
